# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-p" "-a" "data/annotation/union_peaks.saf" "-F" "SAF" "-o" "results/featurecounts/SRX16311691_featureCounts.txt" "results/mapping/SRX16311691.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRX16311691.bam
peak_63	chr1	14823306	14823525	.	220	149
peak_64	chr1	15749366	15749537	.	172	93
peak_65	chr1	15805434	15806152	.	719	921
peak_66	chr1	16059555	16060072	.	518	333
peak_67	chr1	16079099	16079354	.	256	152
peak_68	chr1	16104115	16106112	.	1998	1704
peak_69	chr1	16342890	16343164	.	275	4
peak_70	chr1	16518609	16519404	.	796	305
peak_71	chr1	16619013	16619541	.	529	894
peak_72	chr1	16642151	16642586	.	436	205
peak_73	chr1	16656508	16657527	.	1020	1394
peak_74	chr1	16665080	16665634	.	555	269
peak_75	chr1	16688059	16689063	.	1005	811
peak_76	chr1	16798268	16798625	.	358	419
peak_77	chr1	19176233	19176385	.	153	29
peak_78	chr1	20817180	20817611	.	432	231
peak_79	chr1	20819864	20820570	.	707	1265
peak_80	chr1	20890404	20891528	.	1125	597
peak_81	chr1	20933574	20933763	.	190	127
peak_82	chr1	20939140	20939334	.	195	124
peak_83	chr1	20951291	20951832	.	542	486
peak_84	chr1	21035852	21036201	.	350	260
peak_85	chr1	21079131	21079778	.	648	1520
peak_86	chr1	21218434	21218907	.	474	374
peak_87	chr1	21632695	21633040	.	346	3
peak_88	chr1	23175447	23175681	.	235	124
peak_89	chr1	23184578	23185096	.	519	427
peak_90	chr1	23187820	23188166	.	347	156
peak_91	chr1	23255912	23257043	.	1132	1868
peak_92	chr1	23286830	23287048	.	219	99
peak_93	chr1	23379986	23380672	.	687	631
peak_94	chr1	23382815	23383662	.	848	2358
peak_95	chr1	23397537	23397937	.	401	103
peak_96	chr1	23399664	23399858	.	195	102
peak_97	chr1	23419033	23419271	.	239	171
peak_98	chr1	23433654	23434001	.	348	523
peak_99	chr1	23555867	23556108	.	242	159
peak_100	chr1	23762853	23763076	.	224	142
peak_101	chr1	23792849	23793080	.	232	130
peak_102	chr1	23843805	23844080	.	276	203
peak_103	chr1	23921708	23922541	.	834	469
peak_104	chr1	23983165	23983398	.	234	176
peak_105	chr1	24005200	24005810	.	611	347
peak_106	chr1	24099906	24100658	.	753	622
peak_107	chr1	24248349	24248641	.	293	234
peak_108	chr1	24611490	24616227	.	4738	5824
peak_109	chr1	24678186	24678948	.	763	1441
peak_110	chr1	24699405	24699652	.	248	303
peak_111	chr1	26686910	26687757	.	848	273
peak_112	chr1	26687984	26688352	.	369	126
peak_113	chr1	30872938	30874281	.	1344	942
peak_114	chr1	30948983	30950451	.	1469	2231
peak_115	chr1	33502908	33503215	.	308	230
peak_116	chr1	33511288	33511620	.	333	197
peak_117	chr1	33531964	33532227	.	264	149
peak_118	chr1	33669685	33669913	.	229	223
peak_119	chr1	33670305	33670596	.	292	224
peak_120	chr1	33719767	33720226	.	460	222
peak_121	chr1	33814119	33814705	.	587	747
peak_122	chr1	33876438	33876719	.	282	299
peak_123	chr1	33883207	33883875	.	669	594
peak_124	chr1	33900281	33900487	.	207	141
peak_125	chr1	33903418	33904022	.	605	863
peak_126	chr1	33907482	33908210	.	729	534
peak_127	chr1	33964655	33964948	.	294	223
peak_128	chr1	33966471	33966965	.	495	172
peak_129	chr1	33983646	33983877	.	232	155
peak_130	chr1	34005617	34006000	.	384	341
peak_131	chr1	34010998	34012081	.	1084	1135
peak_132	chr1	34013396	34013700	.	305	210
peak_133	chr1	34028662	34029412	.	751	968
peak_134	chr1	34061218	34061436	.	219	182
peak_135	chr1	34072248	34072614	.	367	438
peak_136	chr1	34164697	34164908	.	212	126
peak_137	chr1	34290379	34291071	.	693	290
peak_138	chr1	34291818	34292068	.	251	97
peak_139	chr1	34312263	34312475	.	213	85
peak_140	chr1	34389165	34390128	.	964	620
peak_141	chr1	34409950	34410236	.	287	305
peak_142	chr1	34433052	34433663	.	612	404
peak_143	chr1	34434690	34435190	.	501	371
peak_144	chr1	34439245	34440191	.	947	2535
peak_145	chr1	34459402	34459987	.	586	386
peak_146	chr1	34460202	34460416	.	215	137
peak_147	chr1	34462820	34463248	.	429	372
peak_148	chr1	34464312	34464965	.	654	486
peak_149	chr1	34472470	34473322	.	853	759
peak_150	chr1	34478935	34479549	.	615	259
peak_151	chr1	34481940	34482424	.	485	236
peak_152	chr1	34483666	34483878	.	213	92
peak_153	chr1	34484370	34484716	.	347	189
peak_154	chr1	34485592	34486143	.	552	528
peak_155	chr1	34510632	34511352	.	721	477
peak_156	chr1	34522281	34522462	.	182	85
peak_157	chr1	34564387	34564947	.	561	292
peak_158	chr1	34602456	34602665	.	210	172
peak_159	chr1	34716495	34716755	.	261	214
peak_160	chr1	34801557	34802558	.	1002	554
peak_161	chr1	34803743	34804039	.	297	153
peak_162	chr1	34823405	34823729	.	325	245
peak_163	chr1	34827964	34828305	.	342	274
peak_164	chr1	34831092	34831642	.	551	226
peak_165	chr1	34838352	34838646	.	295	413
peak_166	chr1	34839221	34839600	.	380	319
peak_167	chr1	34842483	34843539	.	1057	989
peak_168	chr1	34849852	34850415	.	564	411
peak_169	chr1	34858688	34859064	.	377	408
peak_170	chr1	34867262	34867543	.	282	217
peak_171	chr1	35338279	35338491	.	213	90
peak_172	chr1	35810566	35810932	.	367	710
peak_173	chr1	35813634	35814043	.	410	539
peak_174	chr1	35860798	35861117	.	320	300
peak_175	chr1	35890464	35890840	.	377	160
peak_176	chr1	35972231	35972545	.	315	194
peak_177	chr1	35975702	35975906	.	205	78
peak_178	chr1	36052418	36053026	.	609	766
peak_179	chr1	36058864	36059128	.	265	193
peak_180	chr1	36064713	36065444	.	732	891
peak_181	chr1	36068049	36068737	.	689	1190
peak_182	chr1	36073222	36073569	.	348	232
peak_183	chr1	36082271	36082546	.	276	110
peak_184	chr1	36090119	36090503	.	385	196
peak_185	chr1	36121217	36121552	.	336	372
peak_186	chr1	36129190	36129480	.	291	121
peak_187	chr1	36130323	36130654	.	332	276
peak_188	chr1	36133147	36133397	.	251	152
peak_189	chr1	36133707	36134051	.	345	290
peak_190	chr1	36160193	36160681	.	489	529
peak_191	chr1	36162687	36163145	.	459	842
peak_192	chr1	36239329	36239741	.	413	357
peak_193	chr1	36243877	36244692	.	816	735
peak_194	chr1	36252899	36253133	.	235	232
peak_195	chr1	36261951	36262563	.	613	1296
peak_196	chr1	36263990	36264584	.	595	445
peak_197	chr1	36270654	36271171	.	518	654
peak_198	chr1	36271538	36272161	.	624	213
peak_199	chr1	36272601	36272848	.	248	161
peak_200	chr1	36273073	36273871	.	799	1143
peak_201	chr1	36277356	36277565	.	210	158
peak_202	chr1	36279169	36279496	.	328	273
peak_203	chr1	36303412	36303887	.	476	185
peak_204	chr1	36307158	36307386	.	229	125
peak_205	chr1	36307494	36308576	.	1083	1789
peak_206	chr1	36309599	36309926	.	328	139
peak_207	chr1	36324085	36324323	.	239	139
peak_208	chr1	36368503	36369328	.	826	503
peak_209	chr1	36436580	36436981	.	402	255
peak_210	chr1	36437296	36437551	.	256	156
peak_211	chr1	36445160	36445505	.	346	732
peak_212	chr1	36446225	36446741	.	517	277
peak_213	chr1	36461850	36462212	.	363	375
peak_214	chr1	36471059	36471885	.	827	1160
peak_215	chr1	36473335	36473611	.	277	179
peak_216	chr1	36508277	36508574	.	298	179
peak_217	chr1	36511419	36512314	.	896	1243
peak_218	chr1	36546883	36547688	.	806	1773
peak_219	chr1	36554580	36555111	.	532	360
peak_220	chr1	36556042	36556374	.	333	190
peak_221	chr1	36556523	36558480	.	1958	1577
peak_222	chr1	36566470	36566853	.	384	263
peak_223	chr1	36569377	36569673	.	297	225
peak_224	chr1	36571591	36572172	.	582	696
peak_225	chr1	36573617	36574136	.	520	214
peak_226	chr1	36596129	36596522	.	394	263
peak_227	chr1	36603446	36603755	.	310	134
peak_228	chr1	36604299	36604789	.	491	171
peak_229	chr1	36616913	36617156	.	244	203
peak_230	chr1	36635042	36635240	.	199	119
peak_231	chr1	36684162	36684459	.	298	537
peak_232	chr1	36691254	36691807	.	554	929
peak_233	chr1	36709006	36709502	.	497	186
peak_234	chr1	36709644	36710303	.	660	1361
peak_235	chr1	36737393	36737609	.	217	139
peak_236	chr1	36754082	36754634	.	553	206
peak_237	chr1	36815181	36815436	.	256	174
peak_238	chr1	36831328	36831636	.	309	90
peak_239	chr1	36874875	36875475	.	601	480
peak_240	chr1	36914572	36914792	.	221	134
peak_241	chr1	36939299	36940390	.	1092	1397
peak_242	chr1	36940493	36940675	.	183	114
peak_243	chr1	36947522	36947817	.	296	288
peak_244	chr1	36948025	36948232	.	208	119
peak_245	chr1	36960833	36961202	.	370	547
peak_246	chr1	36962475	36962712	.	238	128
peak_247	chr1	36987113	36987529	.	417	334
peak_248	chr1	37000369	37000673	.	305	229
peak_249	chr1	37013041	37013297	.	257	144
peak_250	chr1	37029091	37029499	.	409	384
peak_251	chr1	37106534	37106918	.	385	146
peak_252	chr1	37154300	37154514	.	215	130
peak_253	chr1	37299549	37300334	.	786	676
peak_254	chr1	37300707	37301021	.	315	185
peak_255	chr1	37308590	37309056	.	467	310
peak_256	chr1	37314423	37314756	.	334	291
peak_257	chr1	37322821	37323053	.	233	151
peak_258	chr1	37402229	37402675	.	447	198
peak_259	chr1	37419470	37419768	.	299	291
peak_260	chr1	37421646	37421938	.	293	172
peak_261	chr1	37429552	37430454	.	903	1253
peak_262	chr1	37473961	37474458	.	498	355
peak_263	chr1	37474667	37475158	.	492	274
peak_264	chr1	37486411	37486815	.	405	709
peak_265	chr1	37487066	37487498	.	433	221
peak_266	chr1	37488405	37488743	.	339	155
peak_267	chr1	37491569	37492282	.	714	1248
peak_268	chr1	37496058	37496325	.	268	195
peak_269	chr1	37500666	37500938	.	273	198
peak_270	chr1	37505156	37505664	.	509	193
peak_271	chr1	37531629	37531892	.	264	216
peak_272	chr1	37532497	37532798	.	302	208
peak_273	chr1	37540701	37541480	.	780	1182
peak_274	chr1	37542652	37542903	.	252	147
peak_275	chr1	37559396	37560091	.	696	247
peak_276	chr1	37561788	37562359	.	572	595
peak_277	chr1	37585742	37586611	.	870	1049
peak_278	chr1	37602327	37602585	.	259	109
peak_279	chr1	37605764	37606000	.	237	228
peak_280	chr1	37621981	37622281	.	301	245
peak_281	chr1	37634735	37634961	.	227	128
peak_282	chr1	37636277	37636447	.	171	106
peak_283	chr1	37638650	37638878	.	229	169
peak_284	chr1	37639061	37639462	.	402	472
peak_285	chr1	37860409	37860678	.	270	166
peak_286	chr1	37864479	37865584	.	1106	2363
peak_287	chr1	37871888	37872470	.	583	282
peak_288	chr1	37890081	37890771	.	691	713
peak_289	chr1	37903239	37903476	.	238	143
peak_290	chr1	37996839	37997515	.	677	1766
peak_291	chr1	37997729	37998221	.	493	554
peak_292	chr1	38012170	38012478	.	309	686
peak_293	chr1	38129138	38130288	.	1151	1514
peak_294	chr1	38777468	38778011	.	544	305
peak_295	chr1	38897884	38898254	.	371	320
peak_296	chr1	38902609	38902929	.	321	264
peak_297	chr1	38987461	38988080	.	620	1143
peak_298	chr1	39313719	39314083	.	365	153
peak_299	chr1	39367518	39368366	.	849	1205
peak_300	chr1	39408552	39409064	.	513	401
peak_301	chr1	39417920	39418183	.	264	123
peak_302	chr1	39443703	39444107	.	405	318
peak_303	chr1	39463851	39464201	.	351	361
peak_304	chr1	39469048	39469369	.	322	368
peak_305	chr1	39478410	39479123	.	714	742
peak_306	chr1	39493114	39493450	.	337	193
peak_307	chr1	39503023	39503841	.	819	1434
peak_308	chr1	39504345	39504547	.	203	125
peak_309	chr1	39525842	39526104	.	263	230
peak_310	chr1	39527541	39527759	.	219	144
peak_311	chr1	39530292	39530551	.	260	131
peak_312	chr1	39535492	39536230	.	739	1117
peak_313	chr1	39576467	39577746	.	1280	1948
peak_314	chr1	39578537	39578856	.	320	155
peak_315	chr1	39579221	39579468	.	248	178
peak_316	chr1	39583241	39583514	.	274	301
peak_317	chr1	39590273	39590539	.	267	379
peak_318	chr1	39602530	39602786	.	257	130
peak_319	chr1	39614462	39615153	.	692	446
peak_320	chr1	39650698	39651120	.	423	291
peak_321	chr1	39685913	39686143	.	231	192
peak_322	chr1	39708894	39709116	.	223	124
peak_323	chr1	39712372	39712601	.	230	103
peak_324	chr1	39713869	39714380	.	512	267
peak_325	chr1	39754671	39755000	.	330	152
peak_326	chr1	39761743	39762357	.	615	528
peak_327	chr1	39784634	39785107	.	474	163
peak_328	chr1	39834860	39835089	.	230	143
peak_329	chr1	39847087	39847407	.	321	303
peak_330	chr1	39895553	39895813	.	261	289
peak_331	chr1	39900450	39901152	.	703	915
peak_332	chr1	39911600	39911803	.	204	189
peak_333	chr1	39916097	39916502	.	406	465
peak_334	chr1	39917418	39918073	.	656	210
peak_335	chr1	39918648	39919084	.	437	447
peak_336	chr1	39922656	39923163	.	508	705
peak_337	chr1	39924201	39924411	.	211	127
peak_338	chr1	39924916	39925251	.	336	153
peak_339	chr1	39926201	39926426	.	226	116
peak_340	chr1	39936290	39936925	.	636	741
peak_341	chr1	39944196	39944791	.	596	570
peak_342	chr1	39950153	39950369	.	217	150
peak_343	chr1	39969040	39969377	.	338	705
peak_344	chr1	39974011	39974259	.	249	132
peak_345	chr1	39979200	39979483	.	284	223
peak_346	chr1	39982486	39983418	.	933	487
peak_347	chr1	40012717	40013096	.	380	234
peak_348	chr1	40022827	40023084	.	258	133
peak_349	chr1	40055111	40055374	.	264	166
peak_350	chr1	40064575	40064795	.	221	157
peak_351	chr1	40081123	40081386	.	264	192
peak_352	chr1	40084406	40084793	.	388	400
peak_353	chr1	40085785	40086097	.	313	289
peak_354	chr1	40087489	40087830	.	342	357
peak_355	chr1	40116503	40116788	.	286	286
peak_356	chr1	40230399	40230684	.	286	176
peak_357	chr1	40294503	40295490	.	988	1161
peak_358	chr1	40321706	40322206	.	501	378
peak_359	chr1	40355462	40355813	.	352	152
peak_360	chr1	40355944	40356422	.	479	592
peak_361	chr1	40380180	40380380	.	201	120
peak_362	chr1	40404458	40405149	.	692	486
peak_363	chr1	40409933	40410346	.	414	262
peak_364	chr1	40415579	40415836	.	258	123
peak_365	chr1	40473761	40474037	.	277	175
peak_366	chr1	40475772	40476156	.	385	184
peak_367	chr1	40479473	40479828	.	356	133
peak_368	chr1	40790489	40790989	.	501	279
peak_369	chr1	42851001	42851687	.	687	1020
peak_370	chr1	43091297	43091756	.	460	323
peak_371	chr1	43092370	43093021	.	652	532
peak_372	chr1	43098282	43099012	.	731	1208
peak_373	chr1	43110608	43110839	.	232	140
peak_374	chr1	43521087	43521300	.	214	177
peak_375	chr1	43811052	43811279	.	228	145
peak_376	chr1	43827242	43828226	.	985	2082
peak_377	chr1	43933415	43934421	.	1007	2368
peak_378	chr1	44034388	44034588	.	201	106
peak_379	chr1	44042232	44042467	.	236	111
peak_380	chr1	44101979	44102817	.	839	1035
peak_381	chr1	44118319	44120130	.	1812	1636
peak_382	chr1	44147586	44148376	.	791	1016
peak_383	chr1	44161929	44162791	.	863	589
peak_384	chr1	44180509	44180737	.	229	110
peak_385	chr1	44201219	44201365	.	147	30
peak_386	chr1	45794838	45795899	.	1062	1338
peak_387	chr1	45825246	45825470	.	225	189
peak_388	chr1	45858100	45858357	.	258	146
peak_389	chr1	45861706	45861928	.	223	103
peak_390	chr1	45865800	45866034	.	235	139
peak_391	chr1	45868573	45869053	.	481	298
peak_392	chr1	45880809	45881152	.	344	190
peak_393	chr1	45881316	45881776	.	461	464
peak_394	chr1	45925269	45925936	.	668	539
peak_395	chr1	46075892	46076226	.	335	387
peak_396	chr1	46831919	46832287	.	369	604
peak_397	chr1	46849825	46850142	.	318	396
peak_398	chr1	46852635	46854397	.	1763	3543
peak_399	chr1	46873496	46874207	.	712	827
peak_400	chr1	46894466	46894751	.	286	121
peak_401	chr1	46905820	46906051	.	232	207
peak_402	chr1	46921635	46921947	.	313	517
peak_403	chr1	51476481	51476690	.	210	153
peak_404	chr1	51477694	51478845	.	1152	2357
peak_405	chr1	51480444	51480926	.	483	597
peak_406	chr1	51501341	51501574	.	234	116
peak_407	chr1	51509072	51509380	.	309	334
peak_408	chr1	51529750	51530189	.	440	198
peak_409	chr1	51539686	51540073	.	388	324
peak_410	chr1	51597076	51597266	.	191	113
peak_411	chr1	51789321	51789675	.	355	417
peak_412	chr1	51805122	51805550	.	429	267
peak_413	chr1	51907727	51908398	.	672	652
peak_414	chr1	51915538	51916162	.	625	304
peak_415	chr1	51919517	51919748	.	232	165
peak_416	chr1	51930624	51931139	.	516	476
peak_417	chr1	51934348	51935226	.	879	1706
peak_418	chr1	51938465	51938762	.	298	298
peak_419	chr1	52004188	52004380	.	193	116
peak_420	chr1	52113482	52114072	.	591	1141
peak_421	chr1	52119028	52119719	.	692	995
peak_422	chr1	52166720	52167025	.	306	206
peak_423	chr1	52231964	52233730	.	1767	2739
peak_424	chr1	52274241	52274563	.	323	328
peak_425	chr1	52331455	52331728	.	274	351
peak_426	chr1	52499893	52500162	.	270	143
peak_427	chr1	52500296	52501007	.	712	901
peak_428	chr1	52630482	52631268	.	787	761
peak_429	chr1	52648212	52648421	.	210	198
peak_430	chr1	52653407	52653700	.	294	163
peak_431	chr1	52722596	52722975	.	380	652
peak_432	chr1	52726767	52727202	.	436	178
peak_433	chr1	52748341	52748527	.	187	127
peak_434	chr1	52800320	52800689	.	370	640
peak_435	chr1	52801589	52802187	.	599	795
peak_436	chr1	52817000	52817247	.	248	139
peak_437	chr1	52817563	52817936	.	374	212
peak_438	chr1	52844697	52845350	.	654	2734
peak_439	chr1	52854124	52854326	.	203	124
peak_440	chr1	52951557	52951778	.	222	151
peak_441	chr1	52960251	52960533	.	283	169
peak_442	chr1	53264818	53265415	.	598	174
peak_443	chr1	53296700	53297401	.	702	1256
peak_444	chr1	53313290	53313900	.	611	349
peak_445	chr1	53352362	53353094	.	733	830
peak_446	chr1	53774048	53774334	.	287	273
peak_447	chr1	53784304	53785458	.	1155	1468
peak_448	chr1	53823631	53824351	.	721	901
peak_449	chr1	53824983	53825274	.	292	275
peak_450	chr1	53838174	53838472	.	299	219
peak_451	chr1	53850814	53851691	.	878	1281
peak_452	chr1	53855782	53856056	.	275	266
peak_453	chr1	53856721	53857104	.	384	235
peak_454	chr1	53890488	53890661	.	174	135
peak_455	chr1	54250504	54251031	.	528	741
peak_456	chr1	54438747	54439129	.	383	325
peak_457	chr1	54443756	54443942	.	187	92
peak_458	chr1	54448896	54449396	.	501	211
peak_459	chr1	54557371	54557907	.	537	542
peak_460	chr1	54564003	54564337	.	335	287
peak_461	chr1	54568958	54569400	.	443	181
peak_462	chr1	54585212	54585705	.	494	266
peak_463	chr1	54586327	54586700	.	374	159
peak_464	chr1	54666075	54666270	.	196	102
peak_465	chr1	54690678	54690871	.	194	101
peak_466	chr1	54774283	54774508	.	226	95
peak_467	chr1	54798401	54798794	.	394	522
peak_468	chr1	54810143	54810466	.	324	282
peak_469	chr1	54837619	54838062	.	444	351
peak_470	chr1	54841829	54842134	.	306	227
peak_471	chr1	54870607	54870986	.	380	154
peak_472	chr1	54882604	54883104	.	501	70
peak_473	chr1	54888478	54888969	.	492	344
peak_474	chr1	54902867	54903240	.	374	258
peak_475	chr1	54912308	54912702	.	395	225
peak_476	chr1	54913006	54913225	.	220	143
peak_477	chr1	54914390	54914802	.	413	315
peak_478	chr1	54920155	54920455	.	301	220
peak_479	chr1	54923384	54923658	.	275	214
peak_480	chr1	54925584	54925900	.	317	164
peak_481	chr1	54926008	54926749	.	742	614
peak_482	chr1	55026044	55026295	.	252	158
peak_483	chr1	55026930	55027814	.	885	1604
peak_484	chr1	55028787	55029232	.	446	414
peak_485	chr1	55044756	55044970	.	215	170
peak_486	chr1	55049136	55049458	.	323	182
peak_487	chr1	55052296	55053363	.	1068	2785
peak_488	chr1	55055361	55055697	.	337	434
peak_489	chr1	55058526	55058780	.	255	179
peak_490	chr1	55087311	55088643	.	1333	2706
peak_491	chr1	55130893	55131767	.	875	1553
peak_492	chr1	55215476	55215743	.	268	221
peak_493	chr1	55236952	55237467	.	516	1012
peak_494	chr1	55239371	55239559	.	189	225
peak_495	chr1	55363306	55363895	.	590	417
peak_496	chr1	55383207	55383411	.	205	162
peak_497	chr1	55404462	55404917	.	456	241
peak_498	chr1	55405324	55406432	.	1109	1668
peak_499	chr1	55418885	55419326	.	442	792
peak_500	chr1	55436671	55436894	.	224	105
peak_501	chr1	55474964	55475418	.	455	616
peak_502	chr1	55488295	55488653	.	359	316
peak_503	chr1	55489331	55489547	.	217	89
peak_504	chr1	55505087	55505299	.	213	139
peak_505	chr1	55506473	55506723	.	251	140
peak_506	chr1	55506855	55507489	.	635	761
peak_507	chr1	55525145	55525744	.	600	518
peak_508	chr1	55528847	55529418	.	572	341
peak_509	chr1	55529572	55529922	.	351	240
peak_510	chr1	55612815	55613247	.	433	296
peak_511	chr1	55766798	55767058	.	261	242
peak_512	chr1	55792938	55793161	.	224	244
peak_513	chr1	55804037	55804237	.	201	114
peak_514	chr1	55806999	55807375	.	377	203
peak_515	chr1	55808785	55809052	.	268	143
peak_516	chr1	55838161	55838453	.	293	280
peak_517	chr1	56120829	56121057	.	229	140
peak_518	chr1	56360535	56360834	.	300	156
peak_519	chr1	56524767	56524993	.	227	123
peak_520	chr1	56782261	56782428	.	168	14
peak_521	chr1	56972784	56973613	.	830	538
peak_522	chr1	56977193	56977398	.	206	173
peak_523	chr1	57377404	57377856	.	453	721
peak_524	chr1	57406216	57406843	.	628	395
peak_525	chr1	57969798	57970301	.	504	703
peak_526	chr1	57995760	57996135	.	376	500
peak_527	chr1	58296413	58296618	.	206	201
peak_528	chr1	58392606	58393796	.	1191	1175
peak_529	chr1	58422958	58423216	.	259	243
peak_530	chr1	58423401	58424369	.	969	654
peak_531	chr1	58445103	58445879	.	777	1074
peak_532	chr1	58504581	58505227	.	647	1201
peak_533	chr1	58586159	58586688	.	530	530
peak_534	chr1	58613908	58614058	.	151	63
peak_535	chr1	58618334	58618563	.	230	99
peak_536	chr1	58652491	58653085	.	595	241
peak_537	chr1	58669682	58670134	.	453	121
peak_538	chr1	58697551	58697975	.	425	166
peak_539	chr1	58711356	58712002	.	647	394
peak_540	chr1	58712245	58713375	.	1131	1101
peak_541	chr1	58720865	58721073	.	209	126
peak_542	chr1	58722169	58722788	.	620	291
peak_543	chr1	58724038	58724589	.	552	539
peak_544	chr1	58727021	58727651	.	631	641
peak_545	chr1	58728259	58728769	.	511	274
peak_546	chr1	58733907	58734334	.	428	214
peak_547	chr1	58742445	58743817	.	1373	1212
peak_548	chr1	58744693	58745339	.	647	426
peak_549	chr1	58761392	58761771	.	380	364
peak_550	chr1	58770193	58770462	.	270	146
peak_551	chr1	58773380	58773602	.	223	115
peak_552	chr1	58773810	58774419	.	610	363
peak_553	chr1	58795094	58795760	.	667	647
peak_554	chr1	58802310	58802938	.	629	973
peak_555	chr1	58860636	58860986	.	351	53
peak_556	chr1	58897532	58898077	.	546	388
peak_557	chr1	58953819	58954043	.	225	120
peak_558	chr1	58973103	58974085	.	983	1345
peak_559	chr1	58989943	58990228	.	286	200
peak_560	chr1	58995397	58995647	.	251	255
peak_561	chr1	59119672	59120432	.	761	887
peak_562	chr1	59236885	59237499	.	615	987
peak_563	chr1	59238019	59238245	.	227	233
peak_564	chr1	59316046	59316317	.	272	197
peak_565	chr1	59472271	59472642	.	372	150
peak_566	chr1	59475700	59475924	.	225	144
peak_567	chr1	59481346	59482554	.	1209	2528
peak_568	chr1	59584753	59584953	.	201	135
peak_569	chr1	59593395	59593977	.	583	256
peak_570	chr1	59613818	59614117	.	300	209
peak_571	chr1	59623404	59623628	.	225	172
peak_572	chr1	59670598	59671243	.	646	523
peak_573	chr1	59684764	59685262	.	499	587
peak_574	chr1	59763079	59764209	.	1131	952
peak_575	chr1	59764650	59764901	.	252	136
peak_576	chr1	59830368	59830576	.	209	142
peak_577	chr1	59883851	59884021	.	171	104
peak_578	chr1	59895325	59895919	.	595	443
peak_579	chr1	59912518	59914407	.	1890	2316
peak_580	chr1	60016113	60016714	.	602	224
peak_581	chr1	60070710	60071070	.	361	241
peak_582	chr1	60097570	60098768	.	1199	1268
peak_583	chr1	60180019	60180979	.	961	2487
peak_584	chr1	60343129	60343670	.	542	858
peak_585	chr1	60409178	60409847	.	670	564
peak_586	chr1	60429026	60429222	.	197	136
peak_587	chr1	60566618	60567123	.	506	617
peak_588	chr1	60579821	60580238	.	418	392
peak_589	chr1	60852396	60852678	.	283	344
peak_590	chr1	60860645	60860920	.	276	231
